r_kms,column_density_per_cm2
544577.8674527312,1409408538414.9229
551139.034530475,1399653209769.8489
557700.2016082188,1390031232388.4087
564261.3686859625,1380539033658.8452
570822.5357637062,1371173165555.6777
577383.70284145,1361930350603.3716
583944.8699191938,1352807564389.5908
590506.0369969375,1343802306606.7744
597067.2040746813,1334912461494.3079
603628.3711524251,1326135901647.4233
610189.5382301687,1317470473773.8052
616750.7053079124,1308914004088.7495
623311.8723856562,1300464303937.7366
629873.0394634,1292119175697.7358
636434.2065411438,1283876419018.1633
642995.3736188875,1275733837474.944
649556.5406966313,1267689245728.9302
656117.707774375,1259740477308.2432
662678.8748521188,1251885393185.024
669240.0419298625,1244121891418.4946
675801.2090076063,1236447918352.3862
682362.37608535,1228861482332.9453
688923.5431630939,1221360671992.6306
695484.7102408374,1213943683775.862
702045.8773185812,1206608886462.9724
708607.044396325,1199354961706.0208
715168.2114740688,1192180690750.3293
721729.3785518125,1185084840693.8462
728290.5456295563,1178066166238.3162
734851.7127073,1171123411836.557
741412.8797850438,1164255313912.332
747974.0468627875,1157460603166.412
754535.2139405312,1150738006984.4382
761096.381018275,1144086251964.6748
767657.5480960188,1137504066586.8625
774218.7151737625,1130990184047.605
780779.8822515062,1124543345293.898
787341.04932925,1118162302296.2368
793902.2164069938,1111845821619.7087
800463.3834847375,1105592688382.446
807024.5505624813,1099401710749.784
813585.7176402251,1093271725227.0397
820146.8847179688,1087201603239.2957
826708.0517957124,1081190259936.3711
833269.2188734562,1075236667172.3918
839830.3859512,1069339880014.1189
846391.5530289438,1063499114249.5391
852952.7201066875,1057713664780.5669
859513.8871844313,1051982820743.1289
866075.054262175,1046305864886.4735
872636.2213399188,1040682074414.9749
879197.3884176625,1035110721851.3214
885758.5554954063,1029591075924.4784
892319.7225731501,1024122402486.2283
898880.8896508939,1018703965460.5519
905442.0567286374,1013335027830.6678
912003.2238063812,1008014852669.1841
918564.390884125,1002742704217.6512
925125.5579618688,997517849022.853
931686.7250396125,992339557138.6571
938247.8921173563,987207103404.4038
944809.0591951001,982119768814.2014
951370.2262728438,977076841996.9633
957931.3933505875,972077620836.2942
964492.5604283313,967121414275.2277
971053.727506075,962207544378.5958
977614.8945838189,957335348774.6384
984176.0616615625,952504183683.7311
990737.2287393062,947713427896.957
997298.39581705,942962488380.0343
1003859.5628947938,938250809419.0099
1010420.7299725375,933577904465.9811
1016981.8970502813,928943359769.1826
1023543.0641280251,924346765679.8461
1030104.2312057688,919787709279.5886
1036665.3982835124,915265774710.0459
1043226.5653612562,910780543508.753
1049787.732439,906331594952.1306
1056348.8995167438,901918506406.5027
1062910.0665944875,897540853688.169
1069471.2336722314,893198211433.6595
1076032.400749975,888890153481.4087
1082593.5678277188,884616253266.2195
1089154.7349054625,880376084228.0531
1095715.9019832064,876169220236.8477
1102277.06906095,871995236035.3147
1108838.2361386938,867853707701.9541
1115399.4032164377,863744213136.9232
1121960.5702941814,859666332573.9624
1128521.737371925,855619649122.388
1135082.9044496687,851603749344.3866
1141644.0715274124,847618223874.7327
1148205.2386051563,843662668092.9768
1154766.4056829,839736682862.8337
1161327.5727606437,835839875360.911
1167888.7398383876,831971860028.8451
1174449.9069161313,828132259702.046
1181011.073993875,824320706999.1633
1187572.2410716189,820536846107.7493
1194133.4081493625,816780335200.4633
1200694.5752271065,813050850032.7632
1207255.7423048501,809348092702.2035
1213816.9093825938,805671811538.7013
1220378.0764603375,802021770184.5986
1226939.2435380812,798397730707.4846
1233500.4106158249,794799453674.8143
1240061.5776935688,791226698285.0624
1246622.7447713125,787679222500.9572
1253183.9118490564,784156783185.0293
1259745.0789268,780659136237.722
1266306.2460045437,777186036738.3414
1272867.4130822876,773737239089.1361
1279428.5801600313,770312497162.8297
1285989.747237775,766911564453.9453
1292550.914315519,763534194234.3083
1299112.0813932626,760180139713.129
1305673.2484710063,756849154202.1222
1312234.41554875,753540991286.1616
1318795.5826264936,750255405000.0222
1325356.7497042376,746992150011.8357
1331917.9167819812,743750981813.982
1338479.083859725,740531656922.2455
1345040.2509374688,737333933084.2411
1351601.4180152125,734157569498.3296
1358162.5850929564,731002327044.5653
1364723.7521707,727867968529.676
1371284.9192484438,724754258948.7343
1377846.0863261877,721660965767.1592
1384407.2534039314,718587859228.1182
1390968.4204816748,715534712692.5214
1397529.5875594188,712501303021.9542
1404090.7546371624,709487411019.5662
