OBS_ID START.[UT] END.[UT] MIDTIME EXP_TIME.[s] FILTER HELIO.[AU] HELIOV.[km/s] RANGE.[AU] PHASE[deg] MODCOR gOH[ph/s/molec] PHASECOR[0deg] Z[molec/cm2/s]
00030428001 2006-05-02T09:23:02 2006-05-02T09:23:36 2453857.8911921298 33.237795 V -11.732795 0.11680459 -10.297264 54.126988 0 2.1681244e-06 0.33854026 6.1911310e+21
00030428001 2006-05-02T09:18:14 2006-05-02T09:19:21 2453857.8880497692 65.704635 UVW1 -11.733473 0.11682399 -12.298619 54.123244 0 2.1678743e-06 0.33853905 6.1914832e+21
00030428001 2006-05-02T09:20:45 2006-05-02T09:22:59 2453857.8901851857 133.77469 UVW2 -11.733012 0.11681011 -10.949638 54.125900 0 2.1680442e-06 0.33853991 6.1912439e+21
00030428002 2006-05-02T09:25:23 2006-05-02T09:35:01 2453857.8959722226 352.41635 VGRISM -11.731763 0.11677872 -7.2313742 54.132152 0 2.1685050e-06 0.33854192 6.1905950e+21
00030432001 2006-05-02T10:58:03 2006-05-02T10:58:37 2453857.9571759263 33.248660 B -11.718547 0.11638146 -10.845819 54.268967 0 2.1733902e-06 0.33858711 6.1837270e+21
00030432001 2006-05-02T11:01:42 2006-05-02T11:03:01 2453857.9599710656 78.841833 UVM2 -11.717943 0.11636568 -9.1151634 54.272198 0 2.1736140e-06 0.33858821 6.1834130e+21
00030432001 2006-05-02T10:57:25 2006-05-02T10:57:59 2453857.9567361120 33.237795 U -11.718642 0.11638461 -11.132691 54.268384 0 2.1733550e-06 0.33858691 6.1837764e+21
00030432001 2006-05-02T11:01:03 2006-05-02T11:01:36 2453857.9592534727 33.205218 V -11.718098 0.11636896 -9.5426922 54.271454 0 2.1735565e-06 0.33858796 6.1834936e+21
00030432001 2006-05-02T10:56:14 2006-05-02T10:57:21 2453857.9561053244 65.715520 UVW1 -11.718779 0.11638913 -11.544125 54.267548 0 2.1733046e-06 0.33858663 6.1838473e+21
00030432001 2006-05-02T10:58:44 2006-05-02T11:00:59 2453857.9582349546 134.77949 UVW2 -11.718318 0.11637387 -10.155063 54.270370 0 2.1734750e-06 0.33858759 6.1836080e+21
00030432002 2006-05-02T11:03:23 2006-05-02T11:13:00 2453857.9640219910 383.18114 UGRISM -11.717067 0.11634718 -6.7016958 54.276397 0 2.1739385e-06 0.33858964 6.1829580e+21
00030436001 2006-05-02T12:38:39 2006-05-02T12:39:02 2453858.0269733802 23.410864 B -11.703443 0.11593794 -8.9797179 54.416249 0 2.1789938e-06 0.33863890 6.1758780e+21
00030436001 2006-05-02T12:41:18 2006-05-02T12:42:01 2453858.0289293984 43.162593 UVM2 -11.703019 0.11592862 -7.8564195 54.418425 0 2.1791514e-06 0.33863970 6.1756577e+21
00030436001 2006-05-02T12:38:10 2006-05-02T12:38:34 2453858.0266435193 23.400019 U -11.703515 0.11593998 -9.1984836 54.415859 0 2.1789672e-06 0.33863876 6.1759151e+21
00030436001 2006-05-02T12:40:49 2006-05-02T12:41:12 2453858.0284780096 23.400019 V -11.703117 0.11593032 -8.0876040 54.417944 0 2.1791150e-06 0.33863952 6.1757086e+21
00030436001 2006-05-02T12:37:17 2006-05-02T12:38:05 2453858.0261689820 47.017209 UVW1 -11.703617 0.11594293 -9.5131995 54.415299 0 2.1789290e-06 0.33863856 6.1759685e+21
00030436001 2006-05-02T12:39:09 2006-05-02T12:40:45 2453858.0277430564 95.779453 UVW2 -11.703277 0.11593316 -8.4692642 54.417157 0 2.1790558e-06 0.33863924 6.1757913e+21
00030436002 2006-05-02T12:42:23 2006-05-02T12:52:00 2453858.0327719916 352.73116 VGRISM -11.702187 0.11591418 -5.8883862 54.422520 0 2.1794612e-06 0.33864120 6.1752250e+21
00030441002 2006-05-02T14:28:20 2006-05-02T14:32:00 2453858.1042824080 196.28019 UGRISM -11.686674 0.11547472 -4.1528509 54.572786 0 2.1852414e-06 0.33869887 6.1671634e+21
00030446001 2006-05-02T15:54:45 2006-05-02T15:55:00 2453858.1631076392 14.691521 U -11.673887 0.11507885 -7.7202158 54.709506 0 2.1900223e-06 0.33875653 6.1605186e+21
00030446001 2006-05-02T15:53:34 2006-05-02T15:54:40 2453858.1625810191 65.704655 UVW1 -11.674002 0.11508115 -8.0262500 54.708945 0 2.1899794e-06 0.33875628 6.1605781e+21
00030446002 2006-05-02T15:55:23 2006-05-02T16:08:00 2453858.1678414354 416.73581 VGRISM -11.672857 0.11506029 -5.3352544 54.714788 0 2.1904084e-06 0.33875887 6.1599834e+21
00030500001 2006-05-03T14:24:53 2006-05-03T14:25:41 2453859.1008912046 47.017209 B -11.466784 0.10929554 -7.2065652 56.852632 0 2.2697155e-06 0.34034198 6.0528941e+21
00030500001 2006-05-03T14:29:58 2006-05-03T14:32:01 2453859.1048553246 123.14979 UVM2 -11.465896 0.10928027 -5.1193849 56.857411 0 2.2700669e-06 0.34034691 6.0524325e+21
00030500001 2006-05-03T14:24:01 2006-05-03T14:24:48 2453859.1002835650 47.028074 U -11.466920 0.10929807 -7.5580672 56.851915 0 2.2696616e-06 0.34034124 6.0529649e+21
00030500001 2006-05-03T14:29:05 2006-05-03T14:29:52 2453859.1038020840 47.028074 V -11.466132 0.10928342 -5.5227051 56.856068 0 2.2699735e-06 0.34034553 6.0525551e+21
00030500001 2006-05-03T14:22:18 2006-05-03T14:23:55 2453859.0993807875 95.228849 UVW1 -11.467123 0.10930182 -8.0802981 56.850849 0 2.2695816e-06 0.34034015 6.0530701e+21
00030500001 2006-05-03T14:25:48 2006-05-03T14:29:01 2453859.1023668991 192.78091 UVW2 -11.466454 0.10928940 -6.3529183 56.854374 0 2.2698463e-06 0.34034378 6.0527223e+21
00030503001 2006-05-03T15:53:35 2006-05-03T15:53:57 2453859.1623379635 22.390162 B -11.453000 0.10892219 -10.531203 57.005816 0 2.2751739e-06 0.34050650 6.0457310e+21
00030503001 2006-05-03T15:56:09 2006-05-03T15:57:01 2453859.1642939821 52.704633 UVM2 -11.452561 0.10891094 -9.2618359 57.008520 0 2.2753482e-06 0.34050953 6.0455028e+21
00030503001 2006-05-03T15:53:07 2006-05-03T15:53:30 2453859.1620196765 22.411913 U -11.453072 0.10892402 -10.737756 57.005376 0 2.2751456e-06 0.34050601 6.0457682e+21
00030503001 2006-05-03T15:55:41 2006-05-03T15:56:04 2453859.1638020840 22.411893 V -11.452671 0.10891377 -9.5810553 57.007840 0 2.2753044e-06 0.34050877 6.0455602e+21
00030503001 2006-05-03T15:52:15 2006-05-03T15:53:02 2453859.1615567133 46.029103 UVW1 -11.453176 0.10892669 -11.038199 57.004736 0 2.2751043e-06 0.34050529 6.0458222e+21
00030503001 2006-05-03T15:54:04 2006-05-03T15:55:37 2453859.1630844912 93.782293 UVW2 -11.452833 0.10891790 -10.046740 57.006848 0 2.2752404e-06 0.34050766 6.0456439e+21
00030508001 2006-05-03T17:31:38 2006-05-03T17:32:00 2453859.2304282412 22.411873 B -11.437695 0.10851507 -9.7960524 57.169098 0 2.2812582e-06 0.34069724 6.0377773e+21
00030508001 2006-05-03T17:34:12 2006-05-03T17:35:01 2453859.2323668986 49.627333 UVM2 -11.437258 0.10850572 -8.5891438 57.171555 0 2.2814320e-06 0.34070022 6.0375506e+21
00030508001 2006-05-03T17:31:10 2006-05-03T17:31:33 2453859.2301099543 22.422739 U -11.437766 0.10851661 -9.9942015 57.168695 0 2.2812296e-06 0.34069675 6.0378145e+21
00030508001 2006-05-03T17:33:44 2006-05-03T17:34:06 2453859.2318865750 22.411913 V -11.437367 0.10850804 -8.8881686 57.170946 0 2.2813889e-06 0.34069948 6.0376067e+21
00030508001 2006-05-03T17:30:19 2006-05-03T17:31:05 2453859.2296527782 46.018237 UVW1 -11.437869 0.10851881 -10.278816 57.168116 0 2.2811886e-06 0.34069605 6.0378680e+21
00030508001 2006-05-03T17:32:07 2006-05-03T17:33:40 2453859.2311747689 92.766693 UVW2 -11.437527 0.10851147 -9.3313026 57.170044 0 2.2813251e-06 0.34069839 6.0376900e+21
00030512001 2006-05-03T19:06:06 2006-05-03T19:06:39 2453859.2960937507 32.227978 B -11.422903 0.10812541 -10.541604 57.329486 0 2.2871614e-06 0.34089754 6.0300907e+21
00030512001 2006-05-03T19:09:42 2006-05-03T19:11:01 2453859.2988599543 79.350393 UVM2 -11.422280 0.10810816 -8.7843565 57.333702 0 2.2874109e-06 0.34090294 6.0297665e+21
