r_kms,column_density_per_cm2
2911910.100826311,318067927998.0398
2927317.027285709,317312157186.50354
2942723.9537451076,316560676701.00415
2958130.8802045058,315813440083.503
2973537.806663905,315070402208.2871
2988944.733123303,314331520418.2707
3004351.659582702,313596754434.5807
3019758.5860421,312866064173.3165
3035165.512501498,312139409579.844
3050572.438960897,311416750664.50757
3065979.3654202954,310698047540.3611
3081386.291879694,309983260463.37683
3096793.218339092,309272349875.7816
3112200.1447984907,308565276453.45197
3127607.0712578893,307862001158.7349
3143013.9977172874,307162485300.71466
3158420.9241766864,306466690605.94507
3173827.8506360846,305774579304.23804
3189234.777095483,305086114236.89105
3204641.7035548817,304401259001.9852
3220048.63001428,303719978186.4628
3235455.5564736784,303042238156.14453
3250862.482933077,302368007196.8152
3266269.4093924756,301697253793.68024
3281676.3358518737,301029946448.23224
3297083.2623112723,300366053701.83936
3312490.188770671,299705544160.5128
3327897.115230069,299048386521.0873
3343304.041689468,298394549599.13165
3358710.968148866,297744002359.03424
3374117.894608265,297096713946.8854
3389524.8210676634,296452653727.04987
3404931.7475270615,295811791323.7098
3420338.67398646,295174096669.2426
3435745.6004458587,294539540062.181
3451152.5269052573,293908092239.01355
3466559.4533646554,293279724467.6465
3481966.379824054,292654408683.8913
3497373.3062834525,292032117825.01074
3512780.2327428507,291412826538.89
3528187.1592022497,290796510046.6468
3543594.085661648,290183143574.2615
3559001.0121210464,289572702366.6282
3574407.938580445,288965161703.6034
3589814.865039843,288360496916.82513
3605221.7914992417,287758683407.4443
3620628.7179586403,287159696664.96436
3636035.644418039,286563512287.4492
3651442.570877437,285970106003.4616
3666849.4973368356,285379453696.23315
3682256.423796234,284791531430.7665
3697663.3502556323,284206315484.8569
3713070.2767150314,283623782385.4401
3728477.2031744295,283043908952.31903
3743884.129633828,282466672352.5369
3759291.0560932267,281892050171.9667
3774697.982552625,281320020523.85864
3790104.9090120234,280750562352.9813
3805511.835471422,280183655877.6981
3820918.7619308205,279619281616.3872
3836325.6883902187,279057420090.4284
3851732.6148496172,278498051834.4864
