Radial grid size: 150	Angular grid size: 80	Radial substeps: 80

Q: 1.00000e28 mol/s	Parent dissociative lifetime: 1.33000e6 s	Parent total lifetime: 1.33000e6 s	Parent outflow velocity: 5.00000e2 m/s
Parent cross sectional area: 3.00000e-20 m^2	Fragment total lifetime: 2.60000e6 s	Fragment velocity: 8.00000e2 m/s
Parent destruction level: 99.0%	Fragment destruction level: 95.0%

Collision sphere radius: 1.50000e2 km
Coma radius: 7.06906e6 km
Max grid extent: 2.16772e7 km

r (meters)											volume density (1/m^3)
4.2145605161249724915251136e4,	6.3708329915273933410644531e10
4.7204914155142287199851125e4,	5.6879276333031150817871094e10
5.2871560673261636111419648e4,	5.0782144389096252441406250e10
5.9218451681515864038374275e4,	4.5338488500225158691406250e10
6.6327246158434354583732784e4,	4.0478270693604980468750000e10
7.4289405718027584953233600e4,	3.6138959499627693176269531e10
8.3207371353166148765012622e4,	3.2264725423191261291503906e10
9.3195881439439195673912764e4,	2.8805722642474826812744141e10
1.0438344795690402679610997e5,	2.5717447693538391113281250e10
1.1691400992276787292212248e5,	2.2960166889594902038574219e10
1.3094878530803520698100328e5,	2.0498405108141635894775391e10
1.4666834526484325760975480e5,	1.8300489368695034027099609e10
1.6427493735146065591834486e5,	1.6338141328807556152343750e10
1.8399508764550631167367101e5,	1.4586113455428527832031250e10
2.0608251522414395003579557e5,	1.3021864190593297958374023e10
2.3082139650887943571433425e5,	1.1625267932129249572753906e10
2.5853002147397806402295828e5,	1.0378356097992233276367188e10
2.8956488875919429119676352e5,	9.2650859427709484100341797e9
3.2432529237446468323469162e5,	8.2711341519531126022338867e9
3.6325845900901651475578547e5,	7.3837125583380088806152344e9
4.0686530204140883870422840e5,	6.5914036096014852523803711e9
4.5570686628150515025481582e5,	5.8840134701366977691650391e9
5.1041154636227304581552744e5,	5.2524408671753311157226562e9
5.7168317165314801968634129e5,	4.6885599937569980621337891e9
6.4031006171524757519364357e5,	4.1851159619694647789001465e9
7.1717516880580456927418709e5,	3.7356314613501319885253906e9
8.0326743792504491284489632e5,	3.3343234215034751892089844e9
8.9969453056367940735071898e5,	2.9760286066993780136108398e9
1.0076970758544944692403078e6,	2.6561371851330461502075195e9
1.1286646324830870144069195e6,	2.3705334181251335144042969e9
1.2641535667233851272612810e6,	2.1155427061413741111755371e9
1.4159070766163982916623354e6,	1.8878843102931852340698242e9
1.5858776199229606427252293e6,	1.6846291409961946010589600e9
1.7762520344079593196511269e6,	1.5031620706527893543243408e9
1.9894796736533148214221001e6,	1.3411482854255416393280029e9
2.2283039203943479806184769e6,	1.1965032431313910484313965e9
2.4957974828297123312950134e6,	1.0673658506792781352996826e9
2.7954019280263921245932579e6,	9.5207451589580619335174561e8
3.1309719610558785498142242e6,	8.4914576556710302829742432e8
3.5068250195560287684202194e6,	7.5725515454821956157684326e8
3.9277968218012456782162189e6,	6.7522022028010189533233643e8
4.3993035829615453258156776e6,	6.0198526338920247554779053e8
4.9274117000234071165323257e6,	5.3660775856669634580612183e8
5.5189158019377104938030243e6,	4.7824622093624907732009888e8
6.1814261691859466955065727e6,	4.2614937189260226488113403e8
6.9234666475036954507231712e6,	3.7964646516807383298873901e8
7.7545843155170613899827003e6,	3.3813864887427073717117310e8
8.6854723172740060836076736e6,	3.0109125265975123643875122e8
9.7281074400314986705780029e6,	2.6802690108660292625427246e8
1.0895904207371691241860390e7,	2.3851936500427886843681335e8
1.2203887470206201076507568e7,	2.1218807221400141716003418e8
1.3668885716221092268824577e7,	1.8869320718284353613853455e8
1.5309747584878027439117432e7,	1.6773133708340710401535034e8
1.7147584373649861663579941e7,	1.4903150809605690836906433e8
1.9206041655570741742849350e7,	1.3235176180660654604434967e8
2.1511603502727311104536057e7,	1.1747602675431413948535919e8
2.4093933229824524372816086e7,	1.0421134482566942274570465e8
2.6986255041826266795396805e7,	9.2385396340272754430770874e7
3.0225781495942059904336929e7,	8.1844291420816421508789062e7
3.3854192277677617967128754e7,	7.2450598649563789367675781e7
3.7918170450872756540775299e7,	6.4081585136381268501281738e7
4.2470003081109523773193359e7,	5.6627644980761803686618805e7
4.7568253960099317133426666e7,	4.9990895703753001987934113e7
5.3278517086309343576431274e7,	4.4083924546505309641361237e7
5.9674260596094205975532532e7,	3.8828668575578652322292328e7
6.6837772003335550427436829e7,	3.4155414311737067997455597e7
7.4861216909024566411972046e7,	3.0001904137688424438238144e7
8.3847824802124559879302979e7,	2.6312538082276549190282822e7
9.3913217208205029368400574e7,	2.3037660766057819128036499e7
1.0518689527378198504447937e8,	2.0132924358831454068422318e7
1.1781390592559677362442017e8,	1.7558719363355722278356552e7
1.3195670804160533845424652e8,	1.5279665910758489742875099e7
1.4779726264380022883415222e8,	1.3264159037246305495500565e7
1.6553937400524684786796570e8,	1.1483962114204166457056999e7
1.8541131179196849465370178e8,	9.9138432322405725717544556e6
2.0766874797610962390899658e8,	8.5312499030378554016351700e6
2.3259804630664864182472229e8,	7.3160179498343588784337044e6
2.6051994665992680191993713e8,	6.2501109159471699967980385e6
2.9179369167277204990386963e8,	5.3173867379131736233830452e6
3.2682164875140267610549927e8,	4.5033888116761082783341408e6
3.6605448692279493808746338e8,	3.7951589320375798270106316e6
4.0999697513378417491912842e8,	3.1810699115871018730103970e6
4.5921447659868693351745605e8,	2.6506759885184634476900101e6
5.1434022275163435935974121e8,	2.1945794144359827041625977e6
5.7608346039010143280029297e8,	1.8043118726249174214899540e6
6.4523857683066594600677490e8,	1.4722296108466510195285082e6
7.2269532048106133937835693e8,	1.1914213740646785590797663e6
8.0945024832619941234588623e8,	9.5562838202788692433387041e5
9.0661954761130368709564209e8,	7.5917570204239140730351210e5
1.0154533966856987476348877e9,	5.9691440479328122455626726e5
1.1373520497735922336578369e9,	4.6417384789327060570940375e5
1.2738838526181821823120117e9,	3.5672329974906955612823367e5
1.4268054207880332469940186e9,	2.7074189679404790513217449e5
1.5980842402594559192657471e9,	2.0279563682324709952808917e5
1.7899239810535011291503906e9,	1.4981978686356905382126570e5
2.0047928496123952865600586e9,	1.0910478449753380846232176e5
2.2454553446964907646179199e9,	7.8283513840856961905956268e4
2.5150078253725142478942871e9,	5.5317824830642974120564759e4
2.8169183487102112770080566e9,	3.8482406307354089221917093e4
3.1550712897384142875671387e9,	2.6344648257623746758326888e4
3.5338173177399835586547852e9,	1.7739900234076962078688666e4
3.9580293718797001838684082e9,	1.1742438978702484746463597e4
4.4331653563465585708618164e9,	7.6333237747221974132116884e3
4.9653383616448211669921875e9,	4.8669486929770237111370079e3
5.5613953154997816085815430e9,	3.0383461930725252386764623e3
6.2290050752991285324096680e9,	1.8531094621330892096011667e3
6.9767570954656076431274414e9,	1.1012633032607150198600721e3
7.8142719392136697769165039e9,	6.3570804232049192705744645e2
8.7523250565321578979492188e9,	3.5519792247175001875802991e2
9.8029854209180927276611328e9,	1.9134976261209666859031131e2
1.0979770808559158325195312e10,	9.8961072066735127350511902e1
1.2297821717784143447875977e10,	4.8905912654692841101677914e1
1.3774096166425260543823242e10,	2.2981766242521700860379497e1
1.5427587873351964950561523e10,	1.0218215913338736910986881e1
1.7279570631295188903808594e10,	4.2796146908722150214998692e0
1.9353872015058288574218750e10,	1.6841424753799028035672336e0
2.1677179946639614105224609e10,	6.2482897949535454173997095e-1
r (meters),											theta (radians),								fragment density (1/m^3)
