r_kms,column_density_per_cm2
28644.684998538414,32869344478226.805
28831.898625979837,32705873310605.504
29019.112253421266,32543728966009.992
29206.325880862696,32382888956280.69
29393.539508304122,32223331539053.22
29580.75313574555,32065035830977.49
29767.966763186978,31907981953145.63
29955.180390628404,31752151228695.93
30142.39401806983,31597526473031.805
30329.60764551126,31444092578858.35
30516.821272952686,31291838379670.547
30704.034900394116,31140754891214.46
30891.24852783554,30990833035723.023
31078.46215527697,30842063593492.83
31265.675782718397,30694437208374.395
31452.889410159823,30547944393258.883
31640.103037601253,30402575535564.727
31827.31666504268,30258320902727.957
32014.53029248411,30115170647700.16
32201.743919925535,29973114814458.266
32388.95754736696,29832143343530.582
32576.17117480839,29692246077543.99
32763.384802249817,29553412766797.29
32950.59842969124,29415633074866.215
33137.81205713267,29278896584246.023
33325.0256845741,29143192802038.01
33512.239312015525,29008511165686.633
33699.452939456954,28874841048774.703
33886.666566898384,28742171766884.5
34073.880194339814,28610492583533.34
34261.09382178124,28479792716192.742
34448.30744922266,28350061342401.215
34635.52107666409,28221287605981.367
34822.73470410552,28093460623372.973
35009.94833154695,27966569490094.508
35197.16195898838,27840603287346.816
35384.37558642981,27715551088773.6
35571.58921387124,27591401967394.64
35758.80284131265,27468145002729.133
35946.01646875408,27345769288127.816
36133.23009619551,27224263938334.336
36320.44372363694,27103618097298.1
36507.65735107837,26983820946262.94
36694.8709785198,26864861712158.152
36882.08460596122,26746729676321.543
37069.298233402646,26629414183587.21
37256.511860844075,26512904651775.113
37443.725488285505,26397190581624.617
37630.939115726935,26282261567221.34
37818.152743168364,26168107306975.914
38005.366370609794,26054717615226.316
38192.57999805122,25942082434553.883
38379.79362549264,25830191848929.836
38567.00725293407,25719036097847.64
38754.2208803755,25608605591653.875
38941.43450781693,25498890928374.59
39128.64813525836,25389882912459.79
39315.86176269978,25281572576056.14
39503.07539014121,25173951203697.77
39690.28901758263,25067010361723.895
39877.50264502406,24960741934364.652
40064.71627246549,24855138169431.004
40251.92989990692,24750191738371.035
40439.14352734835,24645895820499.91
40626.35715478977,24542244246479.0
40813.570782231196,24439232021089.88
41000.784409672626,24336855339612.742
41187.998037114055,24235110470365.4
41375.211664555485,24133993638837.125
