r_kms,column_density_per_cm2
25988081.86485093,60515026517.64391
27265179.981155083,56934878070.30327
28605036.84999624,53478883483.61941
30010736.542182714,50147967517.052795
31485514.684957415,46942954801.96599
33032765.90973558,43864419621.19722
34656051.66583812,40912695047.33169
36359108.41820437,38087832221.75609
38145856.247954346,35389523575.05315
40020407.875597015,32817261032.066666
41987078.127654955,30370172302.41987
44050393.868493155,28047118821.010612
46215104.420217104,25846621246.454647
48486192.49461961,23766884651.77908
50868885.662343875,21805826870.6013
53368668.385659665,19961045235.139423
55991294.642550506,18229813061.77831
58742801.17116988,16609176129.069723
61629521.36515193,15095645634.820375
64658099.851762496,13686583168.355736
67835507.78644225,12377556221.713303
71169058.89895326,11164292127.754814
74666426.32805629,10043548585.395346
78335660.28347541,9010714817.220423
82185206.57580015,8061444227.186866
86223926.05697815,7191315923.687456
90461115.01614635,6395731205.02648
94906526.57774934,5669954367.8510475
99570393.1511933,5009425149.115071
104463449.98371926,4408007927.543322
109596959.8706986,3864025857.4615846
114982739.08023833,3385717948.844419
120633184.55176319,2959099943.280661
126561302.4311822,2581723444.7139606
132780738.00832152,2246781685.4799857
139305807.12553242,1949883648.3240614
146151529.1297742,1687170249.4596117
153333661.44401148,1455220960.311852
160868735.83751708,1250946895.9354503
168774096.4785496,1071537704.3914669
177067939.85701042,914440846.4362848
185769356.66896418,777325332.6826652
194898375.75943598,658062534.0844294
204476010.2246305,554706045.1591742
214524305.77969614,465480309.41631174
225066391.50335342,388772695.74532324
236126533.07621258,323115029.62148666
247730188.63529864,267166691.48640656
259904067.37337178,219721998.9364134
272676191.01791245,179684937.4498942
286075958.33128834,146086847.42351174
300134212.7805683,118042232.85801065
314883313.5327434,94765968.438914
330357209.938779,75572082.33476588
346591519.677925,59841839.962725505
363623610.7421883,47040820.053708844
381492687.44964033,36692731.817191266
400239880.6845781,28392689.800114945
419908342.5722329,21785975.891635377
440543345.8059536,16585114.960314618
462192387.85549426,12503505.873001063
